"CTUID","DGUID","CTNAME","LANDAREA","PRUID","OBJECTID","AREA_IN_HA","Shape__Are","Shape__Len","gs_area_m2","ct_area_m2","gs_pct","Shape Area","Type","Households","Quality Flags","Dwellings 2016","name","CMA_UID","Population","Households 2016","Dwellings","CSD_UID","Population 2016","CD_UID","Region Name","Area (sq km)","med_income"
"5370061.00","2021S05075370061.00","0061.00",0.5981,"35",1,114882.0165,1148820165.94531,177180.874408725,61511.7187755524,629927.976028492,9.76488124298994,0.5981,"CT",1321,"0",1468,"0061.00","35537",3356,1169,1485,"3525005",3012,"3525","0061.00",0.5981,60400
"5370062.00","2021S05075370062.00","0062.00",0.5866,"35",1,114882.0165,1148820165.94531,177180.874408725,10864.1461925431,617790.83813872,1.75854763810914,0.5866,"CT",1404,"0",1613,"0062.00","35537",3410,1345,1591,"3525005",3312,"3525","0062.00",0.5866,65500
"5370063.00","2021S05075370063.00","0063.00",0.571,"35",1,114882.0165,1148820165.94531,177180.874408725,6042.00937056838,601378.761143079,1.00469284267438,0.571,"CT",1195,"0",1483,"0063.00","35537",3147,1142,1423,"3525005",2705,"3525","0063.00",0.571,52400
"5370064.00","2021S05075370064.00","0064.00",0.5727,"35",1,114882.0165,1148820165.94531,177180.874408725,44279.5868021023,603176.2521484,7.34106932167618,0.5727,"CT",775,"0",797,"0064.00","35537",1768,702,851,"3525005",1689,"3525","0064.00",0.5727,72500
"5370065.00","2021S05075370065.00","0065.00",1.788,"35",1,114882.0165,1148820165.94531,177180.874408725,344557.512395337,1910941.58952945,18.0307715465118,1.788,"CT",994,"0",994,"0065.00","35537",2576,935,1029,"3525005",2410,"3525","0065.00",1.788,67500
"5370066.00","2021S05075370066.00","0066.00",1.4643,"35",1,114882.0165,1148820165.94531,177180.874408725,278675.788543004,1541986.42587088,18.0725189189402,1.4643,"CT",2042,"0",2306,"0066.00","35537",4816,2055,2136,"3525005",4965,"3525","0066.00",1.4643,71000
"5370067.00","2021S05075370067.00","0067.00",2.3725,"35",1,114882.0165,1148820165.94531,177180.874408725,14298.5261434714,2504080.1150029,0.571009132567422,2.3725,"CT",723,"0",762,"0067.00","35537",1948,686,760,"3525005",1855,"3525","0067.00",2.3725,74000
"5370068.00","2021S05075370068.00","0068.00",4.9509,"35",1,114882.0165,1148820165.94531,177180.874408725,691.723742246515,5232313.46485463,0.0132202274747645,4.9509,"CT",398,"0",418,"0068.00","35537",940,381,434,"3525005",857,"3525","0068.00",4.9509,61600
"5370069.00","2021S05075370069.00","0069.00",5.5383,"35",1,114882.0165,1148820165.94531,177180.874408725,8554.30494785416,6059440.43806003,0.141173183156049,5.5383,"CT",370,"0",390,"0069.00","35537",835,368,389,"3525005",851,"3525","0069.00",5.5383,66500
"5370070.00","2021S05075370070.00","0070.00",2.3861,"35",1,114882.0165,1148820165.94531,177180.874408725,201734.445900732,2598279.45992922,7.76415504998168,2.3861,"CT",879,"0",910,"0070.00","35537",2168,870,907,"3525005",2101,"3525","0070.00",2.3861,81000
"5370071.00","2021S05075370071.00","0071.00",1.8601,"35",1,114882.0165,1148820165.94531,177180.874408725,299430.285713602,1972692.59951195,15.1787605320607,1.8601,"CT",2728,"0",2860,"0071.00","35537",6349,2718,2905,"3525005",6532,"3525","0071.00",1.8601,58000
"5370073.00","2021S05075370073.00","0073.00",1.7616,"35",1,114882.0165,1148820165.94531,177180.874408725,238357.791835525,2362835.59948041,10.087785704936,1.7616,"CT",648,"0",631,"0073.00","35537",1400,546,697,"3525005",1176,"3525","0073.00",1.7616,92000
"5370200.00","2021S05075370200.00","0200.00",16.1661,"35",1,114882.0165,1148820165.94531,177180.874408725,0,56304.691028149,0,16.1661,"CT",963,"0",985,"0200.00","35537",2700,969,981,"3524002",2745,"3524","0200.00",16.1661,142000
"5370201.00","2021S05075370201.00","0201.00",6.2048,"35",1,114882.0165,1148820165.94531,177180.874408725,0,709.674349848327,0,6.2048,"CT",1636,"0",1394,"0201.00","35537",4124,1366,1720,"3524002",3605,"3524","0201.00",6.2048,106000
"5370202.00","2021S05075370202.00","0202.00",3.0414,"35",1,114882.0165,1148820165.94531,177180.874408725,0,26799.3749035997,0,3.0414,"CT",2990,"0",2955,"0202.00","35537",6353,2897,3075,"3524002",6237,"3524","0202.00",3.0414,87000
"5370203.00","2021S05075370203.00","0203.00",1.9776,"35",1,114882.0165,1148820165.94531,177180.874408725,0,11092.071276585,0,1.9776,"CT",1273,"0",1145,"0203.00","35537",2821,1138,1315,"3524002",2603,"3524","0203.00",1.9776,111000
"5370204.00","2021S05075370204.00","0204.00",1.8316,"35",1,114882.0165,1148820165.94531,177180.874408725,0,42080.9974079939,0,1.8316,"CT",2051,"0",2107,"0204.00","35537",5083,2067,2112,"3524002",5128,"3524","0204.00",1.8316,87000
"5370002.06","2021S05075370002.06","0002.06",2.6725,"35",1,114882.0165,1148820165.94531,177180.874408725,362726.511227274,2831733.0244687,12.809347070963,2.6725,"CT",1539,"0",1444,"0002.06","35537",3917,1408,1568,"3525005",3544,"3525","0002.06",2.6725,82000
"5370080.06","2021S05075370080.06","0080.06",2.1507,"35",1,114882.0165,1148820165.94531,177180.874408725,360130.463288733,2272130.48995956,15.8499023220776,2.1507,"CT",1645,"0",1654,"0080.06","35537",4952,1650,1665,"3525005",5276,"3525","0080.06",2.1507,111000
"5370080.07","2021S05075370080.07","0080.07",1.4239,"35",1,114882.0165,1148820165.94531,177180.874408725,45508.1621700204,1500788.3952667,3.032283719247,1.4239,"CT",1365,"0",978,"0080.07","35537",4534,969,1385,"3525005",3046,"3525","0080.07",1.4239,120000
"5370101.02","2021S05075370101.02","0101.02",64.8969,"35",1,114882.0165,1148820165.94531,177180.874408725,298691.830276575,69266090.0672963,0.431223748859475,64.8969,"CT",1529,"0",1554,"0101.02","35537",4614,1510,1564,"3525005",4514,"3525","0101.02",64.8969,123000
"5370144.01","2021S05075370144.01","0144.01",61.0528,"35",1,114882.0165,1148820165.94531,177180.874408725,731617.882801137,65520107.7155326,1.11663107450554,61.0528,"CT",1803,"0",1741,"0144.01","35537",5305,1704,1855,"3525005",5161,"3525","0144.01",61.0528,149000
"5370144.02","2021S05075370144.02","0144.02",34.0386,"35",1,114882.0165,1148820165.94531,177180.874408725,199320.124909075,35845082.0403357,0.556059893194789,34.0386,"CT",627,"0",667,"0144.02","35537",1856,658,645,"3525005",1947,"3525","0144.02",34.0386,130000
